Category,Subcategory,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Academics,Registration,,,http://www.washington.edu/students/reg/calendar.html,Academic Calendar,http://www.uwb.edu/calendars,Bothell Academic Calendar,http://www.washington.edu/students/reg/calendar.html,Academic Calendar,no
Academics,Registration,,,http://www.washington.edu/students/crscat/,Course Catalog,http://www.washington.edu/students/crscatb/,Course Catalog,http://www.washington.edu/students/crscatt/,Course Catalog,no
Academics,Registration,https://sdb.admin.washington.edu/students/uwnetid/dars.asp,Degree Audit Reporting System (DARS),,,,,,,yes
Academics,Registration,https://uwstudent.washington.edu/student/myplan,MyPlan,,,,,,,yes
Academics,Registration,https://sdb.admin.washington.edu/students/uwnetid/register.asp,Registration,,,,,,,yes
Academics,Registration,,,https://sdb.admin.washington.edu/timeschd/uwnetid/findschd.asp,Schedule Finder,https://sdb.admin.washington.edu/timeschd/uwnetid/findschd.asp,Schedule Finder,http://www.tacoma.washington.edu/enrollment_apps/timeschedule/search.cfm,Schedule Finder,yes
Academics,Registration,,,http://www.washington.edu/students/timeschd/,UW Seattle Time Schedule,http://www.uwb.edu/registration/time,UW Bothell Time Schedule,http://www.tacoma.uw.edu/uwt/enrollment-services/time-schedule-registration-guide,UW Tacoma Time Schedule,no
Academics,Advising & Tutoring,,,http://careers.washington.edu/,Career Center,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.washington.edu/studentaffairs/SS/cde_about.cfm,Career Development,no
Academics,Advising & Tutoring,,,http://depts.washington.edu/aspuw/clue/home/,Center for Learning and Undergraduate Enrichment (CLUE),,,http://www.tacoma.uw.edu/teaching-learning-center/teaching-learning-center,Teaching and Learning Center,no
Academics,Advising & Tutoring,,,http://iss.washington.edu/,International Student Services (ISS),http://www.uwb.edu/iss,International Student Services (ISS),http://www.tacoma.uw.edu/uwt/taxonomy/term/252,International Student Services (ISS),no
Academics,Advising & Tutoring,,,http://depts.washington.edu/owrc,Odegaard Writing & Research Center,http://www.uwb.edu/wacc,Writing and Communication Center (WaCC) ,,,no
Academics,Advising & Tutoring,,,,,,,http://www.tacoma.uw.edu/teaching-and-learning-center/writing-resources-0,Academic Writing Resources,no
Academics,Advising & Tutoring,,,http://www.washington.edu/uaa/advising/,Undergraduate Academic Advising (Pre-major),http://www.uwb.edu/cusp/advising,Undergraduate Academic Advising (Pre-major),http://www.tacoma.uw.edu/advising,Undergraduate Academic Advising (Pre-major),no
Academics,Advising & Tutoring,,,http://studyabroad.washington.edu/,Study Abroad,http://www.uwb.edu/globalinitiatives/abroad,Study Abroad,http://www.tacoma.uw.edu/international-programs/international-programs,Study Abroad,no
Academics,Grades & Transcripts,http://www.washington.edu/uaa/advising/general-education-requirements/gpa-calculator/,GPA Calculator,,,,,,,no
Academics,Grades & Transcripts,https://sdb.admin.washington.edu/students/uwnetid/grades.asp,Grade Report,,,,,,,yes
Academics,Grades & Transcripts,,,https://sdb.admin.washington.edu/students/uwnetid/official.asp,Order Official Transcripts,http://www.uwb.edu/directory,Bothell Faculty and Staff Directory,https://sdb.admin.washington.edu/students/uwnetid/official.asp,Order Official Transcripts,yes
Academics,Grades & Transcripts,https://sdb.admin.washington.edu/students/uwnetid/unofficial.asp,Unofficial Transcript,,,,,,,yes
Academics,Libraries,,,https://eres.lib.washington.edu/,Electronic Course Reserves,https://eres.bothell.washington.edu/,Electronic Course Reserves,https://ereserves.tacoma.washington.edu/,Electronic Course Reserves,yes
Academics,Libraries,,,http://lib.washington.edu/,UW Libraries,http://library.uwb.edu/,UW Bothell Library,http://www.tacoma.uw.edu/library,UW Tacoma Library,no
Academics,Graduation,,,http://www.washington.edu/students/reg/grad.html,Application for Graduation,https://www.uwb.edu/registration/graduation/apply,Applying for Graduation,http://www.tacoma.uw.edu/uwt/enrollment-services/applying-graduate,Applying to Graduate,no
Finances,Financial Aid,,,http://www.washington.edu/students/osfa/,Financial Aid and Scholarships,http://www.bothell.washington.edu/financialaid,Financial Aid and Scholarships,http://www.tacoma.uw.edu/uwt/financial-aid,Financial Aid and Scholarships,no
Finances,Financial Aid,https://sdb.admin.washington.edu/students/uwnetid/finaidstatus.asp,Financial Aid Status,,,,,,,yes
Finances,Taxes,https://sdb.admin.washington.edu/sisStudents/uwnetid/irs1098tconsent.aspx,Form 1098-T,,,,,,,yes
Finances,Taxes,http://f2.washington.edu/fm/sfs/tax,Student Tax Information,,,,,,,no
Finances,Tuition,http://f2.washington.edu/fm/sfs/tuition,Tuition Overview,,,,,,,no
Student & Campus Life,Housing & Dining,https://www.hfs.washington.edu/olco/Secure/AccountSummary.aspx,Add Funds to Husky Card,,,,,,,yes
Student & Campus Life,Housing & Dining,,,https://www.hfs.washington.edu/dining/,Campus Dining,http://www.uwb.edu/food,Campus Dining,http://www.tacoma.uw.edu/uwt/convenience-store/welcome-0,Campus Dining,no
Student & Campus Life,Housing & Dining,https://www.hfs.washington.edu/myhfs/ledger.aspx,Check HFS Balance,,,,,,,yes
Student & Campus Life,Housing & Dining,,,https://www.hfs.washington.edu/housing/,Student Housing,http://www.uwb.edu/housing,Student Housing,http://www.tacoma.uw.edu/housing,Housing,no
Student & Campus Life,Health & Wellness,,,http://www.washington.edu/counseling/,Counseling Center,http://www.uwb.edu/studentservices/counseling,Counseling Services,http://www.tacoma.washington.edu/studentaffairs/SHW/scc_about.cfm,Student Counseling Center,no
Student & Campus Life,Health & Wellness,,,http://depts.washington.edu/hhpccweb/,Hall Health Center,http://www.uwb.edu/studentservices/health-matters,Student Health Resource,http://www.tacoma.washington.edu/studentaffairs/SHW/shs_healthservices_about.cfm,Student Health Services (SHS),no
Student & Campus Life,Health & Wellness,,,http://depts.washington.edu/ima/,Recreational Sports Programs (IMA),http://www.uwb.edu/studentlife/rec-wellness,Recreation and Wellness,http://www.tacoma.washington.edu/studentaffairs/SI/rec_fit_about.cfm,Recreation & Fitness,no
Student & Campus Life,Health & Wellness,,,http://www.washington.edu/ship/,Student Health Insurance,http://www.uwb.edu/studentservices/insurance,Student Health Insurance,http://www.tacoma.uw.edu/ses/health/insurance,Student Health Insurance,no
Student & Campus Life,Support Services,,,http://www.washington.edu/admin/dso/uw-resources.html,Disability Resources,http://www.bothell.washington.edu/studentservices/drs,Disability Resources for Students (DRS),http://www.tacoma.washington.edu/studentaffairs/SHW/dss_about.cfm,Disability Support Services (DSS),no
Student & Campus Life,Support Services,,,http://www.washington.edu/omad/,Diversity Resources,http://www.uwb.edu/diversity,Diversity Resources,http://www.tacoma.uw.edu/diversity,Diversity Resources,no
Student & Campus Life,Support Services,,,http://fyp.washington.edu/getting-started-at-the-university-of-washington/,New Student Orientation,http://www.bothell.washington.edu/orientation,Orientation & Transition Programs,http://www.tacoma.washington.edu/studentaffairs/SS/nsp_nso.cfm,New Student Orientation,no
Student & Campus Life,Support Services,http://depts.washington.edu/qcenter/wordpress/,Q Center,,,,,,,no
Student & Campus Life,Support Services,http://depts.washington.edu/womenctr/,Women's Center,,,,,,,no
Student & Campus Life,Support Services,,,http://www.washington.edu/safecampus/,SafeCampus,http://www.washington.edu/safecampus/uwb/,SafeCampus,http://www.washington.edu/safecampus/uwt/,SafeCampus,no
Student & Campus Life,Support Services,,,http://www.washington.edu/students/saris/,Sexual Assault & Relationship Violence Information Service (SARIS),http://www.uwb.edu/getattachment/admin/procedures/sexualassaultspolicy.pdf,Security & Campus Safety: Sexual Assualts,http://www.tacoma.uw.edu/uwt/administrative-services/campus-safety,Campus Safety & Security,no
Student & Campus Life,Support Services,,,http://depts.washington.edu/slsuw/,Student Legal Services,,,,,no
Student & Campus Life,Campus Retail,,,http://hub.washington.edu/,HUB,http://www.uwb.edu/studentservices/ssc,Student Success Center,http://www.tacoma.washington.edu/studentaffairs/SI/rec_fit_lounge.cfm,Dawg House Student Lounge,no
Student & Campus Life,Campus Retail,,,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwseattle,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwbothell,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwtacoma,University Book Store,no
Student & Campus Life,Transportation,,,http://www.washington.edu/admin/ada/newada.php,Accessibility Guide,http://www.uwb.edu/getattachment/admin/emergency/mobility.pdf,Mobility Map,http://www.tacoma.washington.edu/studentaffairs/SHW/dss_access.cfm,Accessibility Guide,no
Student & Campus Life,Transportation,,,http://www.washington.edu/maps/,Campus Map,http://www.uwb.edu/visitors/uw-bothell-map.pdf,Campus Map,http://www.tacoma.uw.edu/campus-map/campus-map,Campus Map,no
Student & Campus Life,Transportation,,,http://www.washington.edu/facilities/transportation/commuterservices/,Getting to Seattle Campus,https://www.uwb.edu/admin/transportation,Getting to Bothell Campus,http://www.tacoma.uw.edu/getting-campus/getting-campus,Getting to Tacoma Campus,no
Student & Campus Life,Rules & Regulations,http://www.washington.edu/students/reg/ferpa.html,Family Educational Rights and Privacy Act (FERPA) - Privacy of Student Information,,,,,,,no
Student & Campus Life,Rules & Regulations,,,https://ap.washington.edu/osi/,Office of Scholarly Integrity (OSI),http://www.uwb.edu/academic/policies/academicconduct/student-guide,Student Guide to Academic Integrity,,,no
Student & Campus Life,Rules & Regulations,,,http://www.washington.edu/cssc/student-conduct-overview/student-code-of-conduct/,Student Conduct Code,http://www.uwb.edu/studentservices/studentconduct,Student Conduct and Responsibility,http://www.tacoma.washington.edu/studentaffairs/SI/conduct_about.cfm,Student Conduct,no
Tools & Software,Teaching & Learning Tools,http://canvas.uw.edu/,Canvas LMS,,,,,,,yes
Tools & Software,Teaching & Learning Tools,https://catalyst.uw.edu/,Catalyst Web Tools,,,,,,,yes
Tools & Software,Teaching & Learning Tools,https://notify.uw.edu/,Notify.UW,,,,,,,yes
Tools & Software,Teaching & Learning Tools,,,http://spacescout.uw.edu/seattle,SpaceScout Study Space Finder,,,http://spacescout.uw.edu/tacoma,SpaceScout Study Space Finder,no
Tools & Software,Teaching & Learning Tools,http://www.washington.edu/itconnect/wares/uware/tableau-software/,Tableau Data Analysis Software,,,,,,,no
Tools & Software,Teaching & Learning Tools,https://uw.tegrity.com/,Tegrity,,,,,,,yes
Tools & Software,Teaching & Learning Tools,https://panopto.uw.edu/,Panopto,,,,,,,yes
Tools & Software,Email & UW NetID,https://mail.google.com/a/uw.edu,Gmail,,,,,,,yes
Tools & Software,Email & UW NetID,http://alpine.washington.edu/,Alpine Mail,,,,,,,yes
Tools & Software,Email & UW NetID,https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,,,,,,yes
Tools & Software,Email & UW NetID,https://uwnetid.washington.edu/manage/,Manage UW NetID Account,,,,,,,yes
Tools & Software,Directory,,,http://www.washington.edu/home/directories.html,UW Directory,http://www.uwb.edu/directory,Bothell Faculty and Staff Directory,http://www.washington.edu/home/directories.html,UW Directory,no
Events & Activities,Events,,,http://www.washington.edu/calendar/,Campus Event Calendar,https://www.uwb.edu/calendar,Campus Event Calendar,http://www.tacoma.uw.edu/calendar/calendar,Campus Event Calendar,no
Events & Activities,Events,,,http://depts.washington.edu/thehub/hub-events/today-in-the-hub/,HUB Events,http://www.uwb.edu/studentlife/events,Student Life Event Calendar,,,no
Events & Activities,Student Clubs & Organizations,,,https://uws-community.symplicity.com/index.php?s=student_group,Registered Student Organizations (RSO) Directory,http://www.bothell.washington.edu/studentlife/clubs/directory,Club Directory,https://dawgden.tacoma.uw.edu/Organizations,UW Tacoma Clubs & Organizations,no
Events & Activities,Stay Connected,,,http://www.washington.edu/news/,Campus News,http://www.uwb.edu/news,Campus News,http://www.tacoma.uw.edu/news/news-information,Campus News,no
Events & Activities,Stay Connected,,,http://www.facebook.com/UofWA,UW Facebook Page,http://www.facebook.com/uwbothell,UW Bothell Facebook Page,http://www.facebook.com/uwtacoma,UW Tacoma Facebook Page,no
Events & Activities,Stay Connected,,,http://www.youtube.com/user/uwhuskies,UW YouTube Channel,http://www.youtube.com/user/uwbothell,UW Bothell YouTube Channel,http://www.youtube.com/user/uwTacomaAdvancement,UW Tacoma YouTube Channel,no
Events & Activities,Stay Connected,,,http://instagram.com/uofwa,UW Instagram,http://instagram.com/UW_BOTHELL,UW Bothell Instagram,,,no
Events & Activities,Stay Connected,,,http://twitter.com/UW,UW Twitter,http://twitter.com/UWBothell,UW Bothell Twitter,,,no
Events & Activities,Stay Connected,,,http://www.linkedin.com/company/university-of-washington,UW LinkedIn,https://www.linkedin.com/groups/University-Washington-Bothell-92858?home=&gid=92858,UW Bothell LinkedIn,,,no
Employment,,,,http://careers.washington.edu/,Career Center,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.washington.edu/studentaffairs/ss/cde_about.cfm,Career Development,no
Employment,,https://www.washington.edu/ess/,Employee Self-Service (ESS),,,,,,,yes
Employment,,https://washington-csm.symplicity.com/students/index.php,Husky Jobs,,,,,,,yes
Employment,,http://www.lib.washington.edu/about/employment/students,Student Employment in the Libraries,,,,,,,no
